10	103360620	103360926	DPCD	103360959	+
10	105197829	105198426	PDCD11	105198442	+
10	112647645	112649266	PDCD4	112649290	+
10	126660688	126662195	ZRANB1	126662213	+
10	127685194	127685974	FANK1	127685988	+
10	5497082	5498027	NET1	5498049	+
10	5978551	5979047	FBXO18	5979072	+
10	70955022	70956733	SUPV3L1	70956747	+
10	7841158	7841707	ATP5C1	7841734	+
10	82264535	82266954	TSPAN14	82266983	+
10	99214557	99215395	ZDHHC16	99215416	+
10	103771555	103772589	C10orf76	103771541	-
10	104183485	104183554	CUEDC2	104183475	-
10	120928061	120928688	PRDX3	120928046	-
10	123733616	123734388	NSMCE4A	123733597	-
10	124754268	124755509	IKZF5	124754240	-
10	135116503	135122326	TUBGCP2	135116485	-
10	50952187	50952695	OGDHL	50952169	-
10	70263469	70266341	SLC25A16	70263453	-
10	75231388	75234676	PPP3CB	75231372	-
10	75280801	75283340	USP54	75280786	-
10	75566590	75566865	NDST2	75566570	-
10	97141573	97143741	SORBS1	97141557	-
10	99683182	99695926	CRTAC1	99683158	-
11	114316810	114318499	REXO2	114318547	+
11	117117665	117150596	RNF214	117150623	+
11	118940055	118940139	VPS11	118940151	+
11	124495800	124496355	TBRG1	124496368	+
11	125442466	125445146	EI24	125445158	+
11	126142975	126143210	FOXRED1	126143230	+
11	18424561	18425221	LDHA	18425240	+
11	208939	209258	RIC8A	209270	+
11	33080642	33083060	TCP11L1	33083075	+
11	34137432	34139710	NAT10	34139726	+
11	34161043	34161927	NAT10	34161946	+
11	4104213	4104471	STIM1	4104492	+
11	62555000	62556481	TMEM179B	62556494	+
11	62648920	62649352	SLC3A2	62649364	+
11	62653081	62655584	SLC3A2	62655606	+
11	63965447	63967396	STIP1	63967411	+
11	64002366	64002911	VEGFB	64002929	+
11	6415272	6415407	SMPD1	6415427	+
11	64877396	64877934	VPS51	64877953	+
11	65388438	65389694	PCNXL3	65389715	+
11	66406224	66407148	RBM4	66407170	+
11	67376194	67376896	NDUFV1	67376922	+
11	68331901	68334466	PPP6R3	68334481	+
11	68838889	68839375	TPCN2	68839390	+
11	706289	706673	EPS8L2	706676	+
11	71174532	71175078	NADSYN1	71175098	+
11	8704813	8705536	RPL27A	8705552	+
11	8705629	8706243	RPL27A	8706264	+
11	93535139	93540666	MED17	93540683	+
11	10821322	10821636	NA	10821304	-
11	118895810	118895900	SLC37A4	118895787	-
11	122929211	122929339	HSPA8	122929193	-
11	122932055	122932771	HSPA8	122932038	-
11	3697620	3697738	NUP98	3697607	-
11	46515773	46529740	AMBRA1	46515755	-
11	47744894	47745579	FNBP4	47744869	-
11	61077452	61077766	DDB1	61077433	-
11	62376299	62376433	EML3	62376278	-
11	62394619	62394760	GANAB	62394597	-
11	62444133	62444284	UBXN1	62444112	-
11	6425068	6431856	APBB1	6425053	-
11	6470700	6471780	TRIM3	6470677	-
11	64900741	64900940	SYVN1	64900724	-
11	65635912	65635980	EFEMP2	65635893	-
11	6623495	6624633	RRP8	6623446	-
11	72404529	72404736	ARAP1	72404516	-
11	77333735	77336007	CLNS1A	77333719	-
11	94192765	94194101	MRE11A	94192748	-
11	95513113	95516228	FAM76B	95513091	-
12	109536444	109536977	UNG	109536993	+
12	110437590	110449795	ANKRD13A	110449809	+
12	112451414	112457543	ERP29	112457559	+
12	113346630	113348840	OAS1	113348855	+
12	123340160	123340362	HIP1R	123340377	+
12	22824290	22826416	ETNK1	22826433	+
12	2986449	2994428	RHNO1	2994448	+
12	3390984	3392189	TSPAN9	3392210	+
12	51174022	51189680	ATF1	51189691	+
12	51442262	51442795	LETMD1	51442816	+
12	51450286	51451788	LETMD1	51451814	+
12	53421973	53427574	EIF4B	53427589	+
12	53700105	53700443	C12orf10	53700463	+
12	56361954	56362539	CDK2	56362561	+
12	56503078	56503622	PA2G4	56503640	+
12	56528213	56530506	ESYT1	56530527	+
12	58109977	58110164	OS9	58110194	+
12	64178853	64195829	TMEM5	64195870	+
12	64199185	64202434	TMEM5	64202454	+
12	72312329	72314492	TBC1D15	72314510	+
12	72315235	72316743	TBC1D15	72316762	+
12	101789467	101790176	ARL1	101789449	-
12	108138460	108140051	PRDM4	108138439	-
12	108917427	108918092	SART3	108917412	-
12	111947439	111947694	ATXN2	111947424	-
12	116413155	116413319	MED13L	116413119	-
12	122701153	122701305	DIABLO	122701132	-
12	21627930	21628401	RECQL	21627914	-
12	27156339	27167010	TM7SF3	27156324	-
12	49959463	49959859	MCRS1	49959451	-
12	54059237	54062931	ATP5G2	54059213	-
12	54063774	54066359	ATP5G2	54063733	-
12	56349663	56349886	PMEL	56349648	-
12	56355543	56359719	PMEL	56355517	-
12	57911243	57911488	DDIT3	57911222	-
12	58145536	58145957	CDK4	58145520	-
12	58163207	58163347	METTL1	58163188	-
13	103297360	103298629	TPP2	103298643	+
13	113864403	113873243	CUL4A	113873258	+
13	113915074	113917776	CUL4A	113917800	+
13	115030716	115037645	CDC16	115037658	+
13	20656271	20656905	ZMYM2	20656920	+
13	25889606	25893446	NUPL1	25893463	+
13	26970492	26971275	CDK8	26971289	+
13	28196147	28196977	POLR1D	28197011	+
